,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id
0,focal,0.5858736038208008,0.39918361777226324,[0.72432095 0.2482299  0.225     ],,0.5858736038208008,0.39918361777226324,[0.72432095 0.2482299  0.225     ],10,1,True,300,0.2,0.001,123,2,True,12
0,focal,0.5860223174095154,0.42312095888236945,[0.7206495  0.28714396 0.26156942],,0.5860223174095154,0.42312095888236945,[0.7206495  0.28714396 0.26156942],10,1,True,300,0.2,0.001,1234,2,True,12
0,focal,0.5782899856567383,0.4234401257439102,[0.70698577 0.31223329 0.25110132],,0.5782899856567383,0.4234401257439102,[0.70698577 0.31223329 0.25110132],10,1,True,300,0.2,0.0001,0,2,True,13
0,focal,0.5765056014060974,0.43205051482711054,[0.70230516 0.33987813 0.25396825],,0.5765056014060974,0.43205051482711054,[0.70230516 0.33987813 0.25396825],10,1,True,300,0.2,0.0001,1,2,True,13
0,focal,0.5828996300697327,0.4356637708807094,[0.71020319 0.32438163 0.27240649],,0.5828996300697327,0.4356637708807094,[0.71020319 0.32438163 0.27240649],10,1,True,300,0.2,0.0001,12,2,True,13
0,focal,0.5846840143203735,0.43914442352162014,[0.71338548 0.31634183 0.28770596],,0.5846840143203735,0.43914442352162014,[0.71338548 0.31634183 0.28770596],10,1,True,300,0.2,0.0001,123,2,True,13
0,focal,0.5889962911605835,0.41933390772806,[0.72094246 0.27715655 0.25990271],,0.5889962911605835,0.41933390772806,[0.72094246 0.27715655 0.25990271],10,1,True,300,0.2,0.0001,1234,2,True,13
0,focal,0.5910780429840088,0.43257939467700685,[0.72240731 0.31313131 0.26219956],,0.5910780429840088,0.43257939467700685,[0.72240731 0.31313131 0.26219956],10,1,True,300,0.2,0.0005,0,2,True,14
0,focal,0.5860223174095154,0.435401194460835,[0.7147721  0.34822906 0.24320242],,0.5860223174095154,0.435401194460835,[0.7147721  0.34822906 0.24320242],10,1,True,300,0.2,0.0005,1,2,True,14
0,focal,0.58185875415802,0.4432140418729961,[0.70785013 0.36227154 0.25952045],,0.58185875415802,0.4432140418729961,[0.70785013 0.36227154 0.25952045],10,1,True,300,0.2,0.0005,12,2,True,14
0,focal,0.5898884534835815,0.4335202159667235,[0.71942291 0.32120994 0.2599278 ],,0.5898884534835815,0.4335202159667235,[0.71942291 0.32120994 0.2599278 ],10,1,True,300,0.2,0.0005,123,2,True,14
0,focal,0.5687732100486755,0.4467182784335333,[0.69454834 0.34482759 0.30077891],,0.5687732100486755,0.4467182784335333,[0.69454834 0.34482759 0.30077891],10,1,True,300,0.2,0.0005,1234,2,True,14
